TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: b4c11c9265aa3c73c6b51286b871660
TRADE LOOPS (138 total trades):
(GLMIRANDA) 8632111          receives (MARCOS_VINICIUS) 8632265
(MARCOS_VINICIUS) 8632265    receives (FMDS) 8634530
(FMDS) 8634530               receives (LUCASCMEDEIROS) 8642258
(LUCASCMEDEIROS) 8642258     receives (GTORRES87) 8640393
(GTORRES87) 8640393          receives (GLMIRANDA) 8632105
(GLMIRANDA) 8632105          receives (ROBINSONFERRARI) 8641808
(ROBINSONFERRARI) 8641808    receives (SERGIMCVO) 8642147
(SERGIMCVO) 8642147          receives (WAN42) 8636167
(WAN42) 8636167              receives (REDOUTLAW) 8631736
(REDOUTLAW) 8631736          receives (THUNDERXT) 8637194
(THUNDERXT) 8637194          receives (DONUBRAN) 8639500
(DONUBRAN) 8639500           receives (GENTLEPYRO) 8632303
(GENTLEPYRO) 8632303         receives (SERGIMCVO) 8642124
(SERGIMCVO) 8642124          receives (M4LK4V) 8642003
(M4LK4V) 8642003             receives (PHILLZIS) 8641895
(PHILLZIS) 8641895           receives (MARCOS_VINICIUS) 8632255
(MARCOS_VINICIUS) 8632255    receives (AVLEDOLIVEIRA) 8632789
(AVLEDOLIVEIRA) 8632789      receives (MISTERD909) 8632527
(MISTERD909) 8632527         receives (MARSHA09) 8629386
(MARSHA09) 8629386           receives (ROBINSONFERRARI) 8641880
(ROBINSONFERRARI) 8641880    receives (BRUNOBENTO) 8641618
(BRUNOBENTO) 8641618         receives (THIAGO_MATOS) 8631874
(THIAGO_MATOS) 8631874       receives (DOUGLASHIPNOTISTA) 8641884
(DOUGLASHIPNOTISTA) 8641884  receives (ALCMAGALHAES) 8641540
(ALCMAGALHAES) 8641540       receives (DPMPESSOA) 8641998
(DPMPESSOA) 8641998          receives (MARSHA09) 8629384
(MARSHA09) 8629384           receives (SERGIMCVO) 8639854
(SERGIMCVO) 8639854          receives (BRUNOBENTO) 8641734
(BRUNOBENTO) 8641734         receives (WAN42) 8636169
(WAN42) 8636169              receives (PHILLZIS) 8633303
(PHILLZIS) 8633303           receives (ENYOSALDANHA) 8641461
(ENYOSALDANHA) 8641461       receives (ROBINSONFERRARI) 8641849
(ROBINSONFERRARI) 8641849    receives (TREMERESL) 8641818
(TREMERESL) 8641818          receives (MARCOSGPMELO) 8641999
(MARCOSGPMELO) 8641999       receives (DOUGLASHIPNOTISTA) 8641964
(DOUGLASHIPNOTISTA) 8641964  receives (TREMERESL) 8641839
(TREMERESL) 8641839          receives (TATO30001) 8632473
(TATO30001) 8632473          receives (SERGIMCVO) 8639837
(SERGIMCVO) 8639837          receives (ALCMAGALHAES) 8640572

(AVLEDOLIVEIRA) 8632806      receives (BRUNOBENTO) 8632297
(BRUNOBENTO) 8632297         receives (SERGIMCVO) 8639791
(SERGIMCVO) 8639791          receives (AVLEDOLIVEIRA) 8632806

(BERROLDER) 8641651          receives (GLMIRANDA) 8632133
(GLMIRANDA) 8632133          receives (RODRIGOFMADUIREIRA) 8641753
(RODRIGOFMADUIREIRA) 8641753 receives (ENYOSALDANHA) 8642049
(ENYOSALDANHA) 8642049       receives (BERROLDER) 8641651

(DANIBOUCAS) 8641969         receives (THIAGO_MATOS) 8631879
(THIAGO_MATOS) 8631879       receives (DANIBOUCAS) 8641969

(DOUGLASHIPNOTISTA) 8641980  receives (GLMIRANDA) 8632124
(GLMIRANDA) 8632124          receives (MARCUSWQUIRINO) 8639489
(MARCUSWQUIRINO) 8639489     receives (DOUGLASHIPNOTISTA) 8641980

ITEM SUMMARY (138 total trades):

(ALCMAGALHAES) 8634387       receives (GLMIRANDA) 8641807          and sends to (AVLEDOLIVEIRA) 8632799
(ALCMAGALHAES) 8635365       receives (SERGIMCVO) 8642136          and sends to (SERGIMCVO) 8642110
(ALCMAGALHAES) 8640572       receives (SERGIMCVO) 8639780          and sends to (SERGIMCVO) 8639837
