TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: c7cf1ff73cd57943d18ae17fe274f46
TRADE LOOPS (137 total trades):
(ROBINSONFERRARI) 8641866    receives (BRUNOBENTO) 8641622
(BRUNOBENTO) 8641622         receives (SERGIMCVO) 8639791
(SERGIMCVO) 8639791          receives (FMDS) 8634535
(FMDS) 8634535               receives (DANIBOUCAS) 8641977
(DANIBOUCAS) 8641977         receives (LUCASCMEDEIROS) 8629990
(LUCASCMEDEIROS) 8629990     receives (MARCOSFSOUZA) 8632101
(MARCOSFSOUZA) 8632101       receives (O_ENRICAO) 8641817
(O_ENRICAO) 8641817          receives (ROBERTOTJR) 8642105
(ROBERTOTJR) 8642105         receives (TATO30001) 8632460
(TATO30001) 8632460          receives (MARSHA09) 8641767
(MARSHA09) 8641767           receives (MARCOSGPMELO) 8642009
(MARCOSGPMELO) 8642009       receives (DOUGLASHIPNOTISTA) 8641914
(DOUGLASHIPNOTISTA) 8641914  receives (TREMERESL) 8641839
(TREMERESL) 8641839          receives (TATO30001) 8632473
(TATO30001) 8632473          receives (NATHALIAOLGO) 8635653
(NATHALIAOLGO) 8635653       receives (BRUNOBENTO) 8641871
(BRUNOBENTO) 8641871         receives (SERGIMCVO) 8642110
(SERGIMCVO) 8642110          receives (ALCMAGALHAES) 8635365

(AVLEDOLIVEIRA) 8632806      receives (BRUNOBENTO) 8632297
(BRUNOBENTO) 8632297         receives (FMDS) 8642109
(FMDS) 8642109               receives (BRUNOBENTO) 8641793
(BRUNOBENTO) 8641793         receives (MARSHA09) 8629420
(MARSHA09) 8629420           receives (DANIBOUCAS) 8641971
(DANIBOUCAS) 8641971         receives (O_ENRICAO) 8642125
(O_ENRICAO) 8642125          receives (BRUNOBENTO) 8641784
(BRUNOBENTO) 8641784         receives (SERGIMCVO) 8639771
(SERGIMCVO) 8639771          receives (AVLEDOLIVEIRA) 8632806

(BERROLDER) 8641651          receives (GLMIRANDA) 8632133
(GLMIRANDA) 8632133          receives (RODRIGOFMADUIREIRA) 8641753
(RODRIGOFMADUIREIRA) 8641753 receives (ENYOSALDANHA) 8642049
(ENYOSALDANHA) 8642049       receives (BERROLDER) 8641651

(BERROLDER) 8641694          receives (VOLATYLE) 8635181
(VOLATYLE) 8635181           receives (LUCASCMEDEIROS) 8635451
(LUCASCMEDEIROS) 8635451     receives (DONUBRAN) 8639497
(DONUBRAN) 8639497           receives (BERROLDER) 8641694

(BRUNOBENTO) 8641624         receives (VICAGIBSON) 8641752
(VICAGIBSON) 8641752         receives (BRUNOBENTO) 8641624

(BRUNOBENTO) 8641823         receives (GLMIRANDA) 8632111
(GLMIRANDA) 8632111          receives (MARCOS_VINICIUS) 8632265
(MARCOS_VINICIUS) 8632265    receives (BRUNOBENTO) 8641848
(BRUNOBENTO) 8641848         receives (VICAGIBSON) 8641737
(VICAGIBSON) 8641737         receives (THIAGO_MATOS) 8633964
(THIAGO_MATOS) 8633964       receives (ENYOSALDANHA) 8641463
(ENYOSALDANHA) 8641463       receives (BRUNOBENTO) 8641823

(DANIBOUCAS) 8641969         receives (THIAGO_MATOS) 8631879
(THIAGO_MATOS) 8631879       receives (DANIBOUCAS) 8641969

ITEM SUMMARY (137 total trades):

(ALCMAGALHAES) 8634387       receives (GLMIRANDA) 8641807          and sends to (MARCUSWQUIRINO) 8639489
(ALCMAGALHAES) 8635365       receives (SERGIMCVO) 8642136          and sends to (SERGIMCVO) 8642110
(ALCMAGALHAES) 8641540       receives (DPMPESSOA) 8641998          and sends to (DOUGLASHIPNOTISTA) 8641884
(ANDRELRUAS) 8640713         receives (SERGIMCVO) 8639823          and sends to (ROBINSONFERRARI) 8641916
(AVLEDOLIVEIRA) 8632789      receives (MISTERD909) 8632527         and sends to (MARCOS_VINICIUS) 8632255
(AVLEDOLIVEIRA) 8632791      receives (ROBINSONFERRARI) 8641880    and sends to (RMCORREA) 8638726
(AVLEDOLIVEIRA) 8632801      receives (ROBERTOTJR) 8642041         and sends to (O_ENRICAO) 8641789
(AVLEDOLIVEIRA) 8632806      receives (BRUNOBENTO) 8632297         and sends to (SERGIMCVO) 8639771
(BERROLDER) 8641651          receives (GLMIRANDA) 8632133          and sends to (ENYOSALDANHA) 8642049
(BERROLDER) 8641694          receives (VOLATYLE) 8635181           and sends to (DONUBRAN) 8639497
(BRUNOBENTO) 8632297         receives (FMDS) 8642109               and sends to (AVLEDOLIVEIRA) 8632806
(BRUNOBENTO) 8632352         receives (ROBINSONFERRARI) 8641866    and sends to (PHILLZIS) 8641702
(BRUNOBENTO) 8641618         receives (THIAGO_MATOS) 8631874       and sends to (ROBINSONFERRARI) 8641880
(BRUNOBENTO) 8641622         receives (SERGIMCVO) 8639791          and sends to (ROBINSONFERRARI) 8641866
(BRUNOBENTO) 8641624         receives (VICAGIBSON) 8641752         and sends to (VICAGIBSON) 8641752
(BRUNOBENTO) 8641661         receives (SERGIMCVO) 8642108          and sends to (SERGIMCVO) 8642158
(BRUNOBENTO) 8641734         receives (WAN42) 8636169              and sends to (SERGIMCVO) 8639854
(BRUNOBENTO) 8641784         receives (SERGIMCVO) 8639771          and sends to (O_ENRICAO) 8642125
(BRUNOBENTO) 8641793         receives (MARSHA09) 8629420           and sends to (FMDS) 8642109
