TradeMaximizer Version 1.4aMT
Input from: ./julho2021/wants.txt
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: ec726b75b2a0361c2bf12d607de6f2b5
TRADE LOOPS (396 total trades):

(MORFEATIRE) 8387876       receives (ALISONARANTES) 8382875
(ALISONARANTES) 8382875    receives (SERGIMCVO) 8388670
(SERGIMCVO) 8388670        receives (M4LK4V) 8380112
(M4LK4V) 8380112           receives (RMCORREA) 8379751
(RMCORREA) 8379751         receives (FILIPPE) 8383763
(FILIPPE) 8383763          receives (BRUNOBENTO) 8381906
(BRUNOBENTO) 8381906       receives (ANDRELRUAS) 8382951
(ANDRELRUAS) 8382951       receives (ENYOSALDANHA) 8379696
(ENYOSALDANHA) 8379696     receives (PSYCHOBIO) 8386761
(PSYCHOBIO) 8386761        receives (MARIDRUMMOND) 8385942
(MARIDRUMMOND) 8385942     receives (MORFEATIRE) 8388302
(MORFEATIRE) 8388302       receives (M4LK4V) 8380090
(M4LK4V) 8380090           receives (FELIPPECANUTO) 8387643
(FELIPPECANUTO) 8387643    receives (ANDRELRUAS) 8382901
(ANDRELRUAS) 8382901       receives (ENYOSALDANHA) 8379641
(ENYOSALDANHA) 8379641     receives (PSYCHOBIO) 8386630
(PSYCHOBIO) 8386630        receives (PSCHULMAN) 8382934
(PSCHULMAN) 8382934        receives (SAMOTOGAIT) 8379985
(SAMOTOGAIT) 8379985       receives (ALCMAGALHAES) 8380845
(ALCMAGALHAES) 8380845     receives (ARTHURIY) 8384430
(ARTHURIY) 8384430         receives (MARSHA09) 8388225
(MARSHA09) 8388225         receives (ENYOSALDANHA) 8388690
(ENYOSALDANHA) 8388690     receives (AVLEDOLIVEIRA) 8379763
(AVLEDOLIVEIRA) 8379763    receives (ARAGAKI SAN) 8388380
(ARAGAKI SAN) 8388380      receives (SERGIMCVO) 8383912
(SERGIMCVO) 8383912        receives (RUNEROX) 8388658
(RUNEROX) 8388658          receives (TREMERESL) 8388606
(TREMERESL) 8388606        receives (COMPROVA) 8383821
(COMPROVA) 8383821         receives (PSCHULMAN) 8379954
(PSCHULMAN) 8379954        receives (PSALES94) 8381863
(PSALES94) 8381863         receives (DONUBRAN) 8380734
(DONUBRAN) 8380734         receives (BRUNOBENTO) 8387137
(BRUNOBENTO) 8387137       receives (ROBERTOTJR) 8387206
(ROBERTOTJR) 8387206       receives (VROCKBHZ) 8383948
(VROCKBHZ) 8383948         receives (NANDONEVES2404) 8379803
(NANDONEVES2404) 8379803   receives (ARAGAKI SAN) 8388120
(ARAGAKI SAN) 8388120      receives (PSYCHOBIO) 8386728
(PSYCHOBIO) 8386728        receives (LOOP777) 8384985
(LOOP777) 8384985          receives (SIRGIGANTE) 8383058
(SIRGIGANTE) 8383058       receives (PSYCHOBIO) 8386642
(PSYCHOBIO) 8386642        receives (LUCASCMEDEIROS) 8384373
(LUCASCMEDEIROS) 8384373   receives (THIAGO_MATOS) 8382511
(THIAGO_MATOS) 8382511     receives (MORFEATIRE) 8387666
(MORFEATIRE) 8387666       receives (ENYOSALDANHA) 8379692
(ENYOSALDANHA) 8379692     receives (LUCASCMEDEIROS) 8381746
(LUCASCMEDEIROS) 8381746   receives (ALISONARANTES) 8383014
(ALISONARANTES) 8383014    receives (DANIELSANTOS60) 8379688
(DANIELSANTOS60) 8379688   receives (GFRANCA) 8384455
(GFRANCA) 8384455          receives (ARTHURIY) 8384427
(ARTHURIY) 8384427         receives (RENATOMARQUES) 8388433
(RENATOMARQUES) 8388433    receives (ROBERTOTJR) 8379667
(ROBERTOTJR) 8379667       receives (BRUNOBENTO) 8381904
(BRUNOBENTO) 8381904       receives (ARTHURIY) 8384445
(ARTHURIY) 8384445         receives (SAMOTOGAIT) 8380001
(SAMOTOGAIT) 8380001       receives (NICKOUNO) 8388633
(NICKOUNO) 8388633         receives (GORIN) 8388283
(GORIN) 8388283            receives (TATO30001) 8386799
(TATO30001) 8386799        receives (MARSHA09) 8388208
(MARSHA09) 8388208         receives (HICKMORAIS) 8379723
(HICKMORAIS) 8379723       receives (PSALES94) 8381866
(PSALES94) 8381866         receives (NYANRICK22) 8380442
(NYANRICK22) 8380442       receives (NICKOUNO) 8388639
(NICKOUNO) 8388639         receives (WALTERSF) 8386193
(WALTERSF) 8386193         receives (PSYCHOBIO) 8386831
(PSYCHOBIO) 8386831        receives (RENATOMARQUES) 8388437
(RENATOMARQUES) 8388437    receives (IVANPUMA) 8388355
(IVANPUMA) 8388355         receives (ARTHURIY) 8386265
(ARTHURIY) 8386265         receives (ALISONARANTES) 8379966
(ALISONARANTES) 8379966    receives (ROBINSONFERRARI) 8388325
(ROBINSONFERRARI) 8388325  receives (SLATERS) 8386282
(SLATERS) 8386282          receives (URIENS1981) 8383857
(URIENS1981) 8383857       receives (BRUNOBENTO) 8388617
(BRUNOBENTO) 8388617       receives (RMCORREA) 8379759
(RMCORREA) 8379759         receives (SERGIMCVO) 8380425
(SERGIMCVO) 8380425        receives (M4LK4V) 8380097
(M4LK4V) 8380097           receives (DONGABES) 8383881
(DONGABES) 8383881         receives (MARCOSFSOUZA) 8388141
(MARCOSFSOUZA) 8388141     receives (COMPROVA) 8388580
(COMPROVA) 8388580         receives (PHILLZIS) 8383706
(PHILLZIS) 8383706         receives (ESCLERO) 8384984
(ESCLERO) 8384984          receives (SAMOTOGAIT) 8379997
(SAMOTOGAIT) 8379997       receives (ARAGAKI SAN) 8386023
(ARAGAKI SAN) 8386023      receives (FILIPPE) 8383794
(FILIPPE) 8383794          receives (REDOUTLAW) 8381791
(REDOUTLAW) 8381791        receives (DDATHAYDE) 8383266
(DDATHAYDE) 8383266        receives (DANIELCS) 8381000
(DANIELCS) 8381000         receives (LUCASCMEDEIROS) 8380303
(LUCASCMEDEIROS) 8380303   receives (ARAGAKI SAN) 8387634
(ARAGAKI SAN) 8387634      receives (NYANRICK22) 8380447
(NYANRICK22) 8380447       receives (GATTONI) 8384488
(GATTONI) 8384488          receives (ENYOSALDANHA) 8379719
(ENYOSALDANHA) 8379719     receives (BRUNOBENTO) 8387154
(BRUNOBENTO) 8387154       receives (AVLEDOLIVEIRA) 8379983
(AVLEDOLIVEIRA) 8379983    receives (SERGIMCVO) 8388655
(SERGIMCVO) 8388655        receives (TEODORHFB) 8379713
(TEODORHFB) 8379713        receives (DPMPESSOA) 8382353
(DPMPESSOA) 8382353        receives (PSALES94) 8388065
(PSALES94) 8388065         receives (DANIELSANTOS60) 8379685
(DANIELSANTOS60) 8379685   receives (M4LK4V) 8380110
(M4LK4V) 8380110           receives (GENTLEPYRO) 8387963
(GENTLEPYRO) 8387963       receives (SERGIMCVO) 8383842
(SERGIMCVO) 8383842        receives (GUBHZ) 8380073
(GUBHZ) 8380073            receives (LUCASCMEDEIROS) 8380274
(LUCASCMEDEIROS) 8380274   receives (ARAGAKI SAN) 8387632
(ARAGAKI SAN) 8387632      receives (DONUBRAN) 8380755
(DONUBRAN) 8380755         receives (CONDEBERNA) 8385340
(CONDEBERNA) 8385340       receives (ENYOSALDANHA) 8379690
(ENYOSALDANHA) 8379690     receives (GLMIRANDA) 8388709
(GLMIRANDA) 8388709        receives (MARCOSFSOUZA) 8388264
(MARCOSFSOUZA) 8388264     receives (TREMERESL) 8388615
